YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,OR_CITY,OR_STATE,OR_COUNTRY,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DESTINATION_AIRPORT,DEST_CITY,DEST_STATE,DEST_COUNTRY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,,,,,,,
2015,1,2,5,DL,2383,N935AT,ATL,Atlanta,GA,USA,1940,1941,1,BHM,Birmingham,AL,USA,1937,1938,1,,,,,,,,,,,,
2015,1,2,5,DL,1445,N301DQ,ATL,Atlanta,GA,USA,2100,2126,26,BHM,Birmingham,AL,USA,2056,2121,25,0,0,0,2,23,,,,,,,
2015,1,2,5,DL,206,N909DL,ATL,Atlanta,GA,USA,2250,2257,7,BHM,Birmingham,AL,USA,2242,2245,3,,,,,,,,,,,,
2015,1,2,5,EV,5093,N853AS,ATL,Atlanta,GA,USA,1950,2201,131,DHN,Dothan,AL,USA,1950,2157,127,0,0,104,23,0,,,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,2,5,DL,1133,N958AT,ATL,Atlanta,GA,USA,1706,1720,14,HSV,Huntsville,AL,USA,1702,1709,7,,,,,,,,9.39283894,0.031664118,23.37098624,17.35474006,3.783639144
2015,1,2,5,EV,5244,N859AS,ATL,Atlanta,GA,USA,1915,2036,81,HSV,Huntsville,AL,USA,1914,2031,77,0,0,62,15,0,,,,,,,
2015,1,2,5,EV,5152,N923EV,ATL,Atlanta,GA,USA,1728,1743,15,MOB,Mobile,AL,USA,1746,1754,8,,,,,,,,,,,,
2015,1,2,5,DL,840,N925AT,ATL,Atlanta,GA,USA,2150,2202,12,MOB,Mobile,AL,USA,2209,2222,13,,,,,,,,,,,,
2015,1,2,5,EV,5310,N840AS,ATL,Atlanta,GA,USA,1725,1722,-3,MGM,Montgomery,AL,USA,1718,1719,1,,,,,,,,,,,,
2015,1,2,5,EV,5306,N914EV,ATL,Atlanta,GA,USA,2206,2206,0,MGM,Montgomery,AL,USA,2202,2206,4,,,,,,,,,,,,
2015,1,2,5,EV,5415,N695CA,ATL,Atlanta,GA,USA,2113,2243,90,XNA,Highfill,AR,USA,2214,2333,79,0,0,72,7,0,,,,,,,
2015,1,2,5,DL,1432,N938DL,ATL,Atlanta,GA,USA,2107,2119,12,LIT,Little Rock,AR,USA,2146,2201,15,3,0,12,0,0,,,,,,,
2015,1,2,5,DL,1906,N668DN,ATL,Atlanta,GA,USA,2045,2108,23,PHX,Phoenix,AZ,USA,2302,2320,18,0,0,16,2,0,,,,,,,
2015,1,2,5,WN,2167,N717SA,ATL,Atlanta,GA,USA,1925,2046,81,LAX,Los Angeles,CA,USA,2140,2237,57,0,0,57,0,0,,,,,,,
2015,1,2,5,DL,2155,N664DN,ATL,Atlanta,GA,USA,1927,1941,14,LAX,Los Angeles,CA,USA,2137,2139,2,,,,,,,,,,,,
2015,1,2,5,DL,1567,N6708D,ATL,Atlanta,GA,USA,1959,2032,33,SAN,San Diego,CA,USA,2152,2202,10,,,,,,,,,,,,
2015,1,2,5,UA,1130,N13248,ATL,Atlanta,GA,USA,1920,2036,76,SFO,San Francisco,CA,USA,2155,2237,42,0,0,26,16,0,,,,,,,
2015,1,2,5,WN,545,N487WN,ATL,Atlanta,GA,USA,1945,2119,94,SFO,San Francisco,CA,USA,2220,2333,73,0,0,68,5,0,,,,,,,
